blockNumber,min_min,max_max,total_difference
12047933,1746.4204,1750.0716,3.651200000000017
12048011,1743.6962,1746.5653,2.8690999999998894
12048059,1749.8625,1760.4261,10.563599999999951
12048073,1760.6636,1788.5916,27.927999999999884
12048084,1777.353,1788.5916,11.238599999999906
12048259,1797.807,1798.8809,1.0739000000000942
12048340,1793.4971,1796.4457,2.948599999999942
12048468,1795.1186,1805.1653,10.046699999999873
12048498,1806.6114,1807.7309,1.1195000000000164
12049087,1794.0593,1795.9956,1.9363000000000739
12049617,1779.3213,1784.1243,4.802999999999884
12049718,1772.046,1773.9722,1.9261999999998807
12050249,1784.343,1788.5218,4.17879999999991
12050355,1791.7857,1797.5908,5.805100000000039
12050642,1802.6017,1807.7559,5.1542000000001735
12050702,1799.9219,1803.4695,3.547599999999875
