blockNumber,wd_min,wd_max,wd_difference
12046055,1788.5094,1792.9978,4.488400000000183
12046164,1798.8815,1801.2318,2.350300000000061
12046252,1793.146,1794.8393,1.6933000000001357
12046420,1764.8913,1780.1301,15.238800000000083
12046423,1764.8913,1768.4658,3.5744999999999436
12046436,1757.2225,1761.3428,4.1202999999998156
12046500,1753.1088,1753.1088,0.0
12046540,1736.759,1736.759,0.0
12046575,1721.1134,1721.1566,0.04320000000006985
12046595,1720.9581,1720.9926,0.03449999999997999
12046674,1730.9222,1730.9222,0.0
12046765,1737.2509,1737.3478,0.0969000000000051
12046820,1747.3141,1747.3141,0.0
12047219,1742.8361,1742.8747,0.038600000000087675
12047464,,,
12047845,,,
12047933,1746.4204,1749.3024,2.882000000000062
12048011,1743.6962,1746.5653,2.8690999999998894
12048059,1749.8625,1759.3622,9.499700000000075
12048073,1760.7999,1788.5916,27.79169999999999
12048084,1787.7052,1788.5916,0.8863999999998668
12048259,,,
12048340,1795.5906,1795.7264,0.13580000000001746
12048468,1797.8654,1805.1653,7.29989999999998
12048498,1806.6337,1806.6337,0.0
12049087,,,
12049617,1782.3623,1782.3963,0.0340000000001055
12049718,1772.046,1772.0882,0.04219999999986612
12050249,1785.8226,1785.8226,0.0
12050355,1792.4173,1796.7142,4.296899999999823
12050642,1805.8705,1805.8705,0.0
12050702,1803.4695,1803.4695,0.0
12055421,1772.5382,1774.0452,1.5070000000000618
12055471,1758.7183,1758.8436,0.1252999999999247
12056102,1752.3102,1758.4421,6.131900000000087
12056203,1764.1958,1764.3383,0.14249999999992724
12056429,1770.6181,1770.6181,0.0
12056647,,,
12056763,,,
12056893,1758.8665,1758.8665,0.0
12056913,1763.9463,1772.9935,9.047199999999975
12057217,1774.604,1774.604,0.0
12057272,1786.7856,1786.9876,0.20199999999999818
12057689,1793.2952,1793.2952,0.0
12057748,1799.665,1803.862,4.197000000000116
12057874,1814.6267,1818.5012,3.874499999999898
12057987,1825.3978,1827.3,1.9021999999999935
12058235,1831.9784,1832.2414,0.26300000000014734
12062154,1815.0536,1815.0536,0.0
12062384,1808.3904,1808.5348,0.14439999999990505
12062543,1796.5714,1799.4023,2.8308999999999287
12063205,,,
12063253,1790.9848,1791.1897,0.20489999999995234
12063511,,,
12063556,1809.0771,1817.543,8.46589999999992
12063621,1823.4121,1823.5601,0.14799999999991087
12063868,1815.8002,1818.9732,3.173000000000002
12064307,,,
12064398,1802.8609,1802.9425,0.08160000000020773
12064537,,,
12064671,1774.6256,1779.7258,5.100199999999859
12064706,1767.4148,1767.4148,0.0
12064855,,,
12065352,1782.3432,1784.1901,1.846900000000005
12065803,1779.2777,1780.3207,1.0429999999998927
12065860,1765.7254,1768.8951,3.1696999999999207
12065900,1742.3698,1743.8536,1.4837999999999738
12065908,1742.6188,1742.6545,0.035700000000133514
12065976,,,
12066054,,,
12066249,1767.6636,1768.109,0.4453999999998359
12066486,1776.8373,1778.8231,1.9858000000001539
12067451,1803.275,1803.3227,0.04769999999984975
12067527,1800.7503,1800.8385,0.08820000000014261
12068037,1799.0869,1808.1815,9.0945999999999
12068261,,,
12068435,1809.2514,1809.2514,0.0
12068771,1809.6731,1810.6838,1.0107000000000426
12069057,1821.5875,1822.1118,0.5242999999998119
12069278,,,
12069789,1811.8066,1811.8066,0.0
12070182,1816.4122,1820.7905,4.378300000000081
12070995,,,
12071291,1829.6412,1832.8141,3.172900000000027
12071355,1828.3709,1828.3709,0.0
12071451,1819.226,1819.226,0.0
12071654,,,
12071979,1820.5414,1820.7776,0.2361999999998261
12072336,1806.5237,1806.5237,0.0
12072429,,,
12072750,1823.2147,1823.3102,0.09549999999990177
12072910,1827.2764,1827.2974,0.020999999999958163
12074617,1825.2547,1825.2547,0.0
12075414,,,
12075609,,,
12075876,1850.6115,1850.6115,0.0
12075910,1858.5387,1860.7515,2.2128000000000156
12076028,1855.1951,1855.2871,0.09200000000009823
12076100,1844.153,1844.176,0.02299999999991087
12076374,1849.156,1851.1027,1.9466999999999643
12077751,1849.7484,1849.7484,0.0
12077828,1831.1834,1831.2731,0.08970000000022083
12077890,1827.9251,1827.9251,0.0
12078287,1829.1542,1829.1542,0.0
12078572,1826.9437,1826.9952,0.05150000000003274
12078736,1818.1118,1818.1118,0.0
12078845,1794.6805,1800.8536,6.173099999999977
12078932,,,
12079121,1800.9959,1800.9959,0.0
12079551,,,
12080052,1776.2487,1776.3105,0.06179999999994834
12080535,1775.864,1777.8722,2.008199999999988
12082221,1765.5417,1765.5417,0.0
12082320,1773.1601,1773.1812,0.02109999999993306
12082384,1780.9654,1781.0056,0.040199999999913416
